Nro. Factura|Fecha|Codigo Cliente|Codigo Producto|Cantidad 
Fact0069|27/02/2013|1516|1|26 
Fact0097|07/04/2013|1285|1|9 
Fact0169|18/06/2013|1816|1|20 
Fact0181|30/06/2013|1291|1|29 
Fact0308|01/11/2013|1303|1|10 
Fact0368|23/12/2013|1931|1|22 
Fact0404|08/02/2014|1012|1|19 
Fact0531|15/06/2014|1656|1|11 
Fact0621|13/09/2014|1908|1|27 
Fact0701|02/12/2014|1572|1|30 
Fact0738|08/01/2015|1968|1|7 
Fact0866|16/05/2015|1054|1|14 
Fact0985|12/09/2015|1352|1|9 
Fact1002|29/09/2015|1725|1|5 
Fact1053|19/11/2015|1055|1|10 
Fact1097|02/01/2016|1656|1|21 
Fact1104|09/01/2016|1962|1|12 
Fact1126|31/01/2016|1333|1|15 
Fact1222|06/05/2016|1529|1|12 
